Region	Catchment	Transect	Transect_code	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41
PGM	269	2	269_2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
PGM	269	4	269_4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
PGM	269	6	269_6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	1	0	0
PGM	269	7	269_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	6	0	0	0	0	0	4	0	0	0	0	1	0	0
PGM	269	8	269_8	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	1	0	0	1	0	2	0	0	1	0	0	3	0	0	2	0	1	1	0	0	0	0	1	0	0
PGM	274	1	274_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PGM	274	10	274_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
PGM	274	11	274_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
PGM	274	12	274_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
PGM	274	2	274_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
PGM	274	3	274_3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PGM	274	4	274_4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGM	274	6	274_6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
PGM	274	7	274_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGM	274	8	274_8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGM	274	9	274_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	22	0	0	0	0
PGM	315	1	315_1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	1	0	0
PGM	315	11	315_11	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
PGM	315	2	315_2	0	0	0	0	0	0	2	1	0	0	0	1	0	0	4	0	0	0	0	6	0	0	2	0	0	1	0	1	0	0	0	0	0	4	0	0	1	0	0	0	1
PGM	315	3	315_3	0	0	0	0	0	0	17	0	0	3	0	1	0	0	5	0	6	0	0	0	0	1	0	0	1	5	0	60	0	0	0	0	0	0	0	0	0	0	1	0	2
PGM	315	4	315_4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	11	0	0	1	0	3	0	0	0	0	0	3	0	0	1	0	0	4	0	0	0	0	0	0	2
PGM	315	5	315_5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0
PGM	315	6	315_6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	26	0	0	0	0
PGM	315	7	315_7	0	0	0	0	0	0	4	0	0	1	0	0	0	0	4	0	0	0	0	2	0	0	5	0	0	0	0	1	0	0	0	1	0	0	0	0	34	0	0	0	0
PGM	315	8	315_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
PGM	315	9	315_9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	12	0	0	0	0
PGM	342	1	342_1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
PGM	342	10	342_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0
PGM	342	11	342_11	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	0	1	0	2	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
