"Region","Catchment","Transect","Transect_code","LU_FT_Code","foresttype1_1km","SILT_ALL","CLAY_ALL","ELEV_MEAN","SLOPE_MEAN"
"PGM",142,12,"142_12","PFlogbur",42.49875807,234.2,520,96.8697,7.48225
"PGM",142,13,"142_13","Sfinter",86.06271777,318.2222222,593.3333333,76.5283,4.5941
"PGM",142,3,"142_3","PFlog",11.91005683,185,456,87.2454,3.98108
"PGM",142,4,"142_4","PFlogbur",67.17310087,258.25,562.5,77.3848,7.09201
"PGM",142,5,"142_5","PFlog",86.29897679,321.1333333,624,127.853,2.66118
"PGM",142,6,"142_6","PFlogbur",55.15271915,341.6,214.6666667,80.5293,7.99375
"PGM",142,7,"142_7","PA",1.891488303,331.25,617.5,112.553,3.21988
"PGM",142,8,"142_8","PA",34.37888972,166.2222222,308.8888889,61.5871,6.42166
"PGM",142,9,"142_9","PA",0.099502488,332.8,618.6666667,136.443,4.22263
"PGM",147,1,"147_1","PFlog",95.89384076,262.75,701.6666667,148.747,3.82344
"PGM",147,11,"147_11","PFlog",71.62837163,242.2666667,729.3333333,147.638,2.99201
"PGM",147,12,"147_12","PA",28.15461347,101.4666667,245.3333333,78.88,1.14718
"PGM",147,13,"147_13","SFinter",56.87982085,301.9333333,653.3333333,130.647,4.40931
"PGM",147,14,"147_14","MA",30.28942116,302.1333333,485.3333333,113.715,10.6374
"PGM",147,2,"147_2","PFlogbur",65.07581407,292.3333333,630.6666667,149.49,5.50123
"PGM",147,3,"147_3","PFlogbur",70.09742693,291.0666667,668,130.511,8.12207
"PGM",147,4,"147_4","SFinter",40.69016882,301.4666667,598.6666667,117.73,11.531
"PGM",147,5,"147_5","PFlog",79.29318069,256.3333333,633.3333333,125.971,5.07388
"PGM",147,7,"147_7","PFlog",90.41573313,296.2666667,577.3333333,130.284,7.56289
"PGM",147,8,"147_8","PFlog",98.71858058,296.5333333,670.6666667,150,0
"PGM",152,1,"152_1","SFold",18.91891892,208.2222222,200,72.0822,2.0981
"PGM",152,10,"152_10","PA",11.18322516,138.4444444,128.8888889,67.4203,2.15259
"PGM",152,11,"152_11","PA",34.91432828,285.3333333,253.3333333,94.0342,4.11291
"PGM",152,12,"152_12","PA",20.39800995,364.6666667,135.5555556,80,0.00495178
"PGM",152,2,"152_2","SFinter",25.58662007,333.8888889,111.1111111,78.6838,1.60325
"PGM",152,3,"152_3","SFinter",14.05742821,105.375,140,70,0
"PGM",152,4,"152_4","SFold",39.03769841,156.5555556,108.8888889,78.9672,2.29981
"PGM",152,5,"152_5","PA",8.706529897,215.1111111,146.6666667,79.9933,0.0754283
"PGM",152,6,"152_6","SFold",23.66260264,319.4444444,213.3333333,80,0.000522016
"PGM",152,7,"152_7","SFinter",36.10486891,213.2222222,115.5555556,84.2672,2.45819
"PGM",152,8,"152_8","SFinter",15.61403509,154.8888889,108.8888889,82.1753,2.56659
"PGM",152,9,"152_9","PA",24.45054945,167.6666667,122.2222222,80,0
"PGM",202,1,"202_1","PFlogbur",55.97718254,218,740,144.779,4.11972
"PGM",202,12,"202_12","PA",2.793714143,181.2,786.6666667,145.449,2.34099
"PGM",202,13,"202_13","PFlogbur",42.70364818,233.5714286,734.2857143,143.482,2.74713
"PGM",202,14,"202_14","AP",1.968111609,179.0666667,290.6666667,89.6107,1.42052
"PGM",202,2,"202_2","PFlogbur",49.19174335,291.2,626.6666667,131.894,3.99003
"PGM",202,3,"202_3","MA",0.423306773,213.3333333,648,107.722,4.60957
"PGM",202,4,"202_4","REF",7.435317759,266.8888889,473.3333333,107.935,6.13942
"PGM",202,5,"202_5","PA",16.63765233,172.6428571,272.8571429,93.4648,2.41336
"PGM",202,6,"202_6","MA",1.06991789,250.5333333,696,120.05,4.17049
"PGM",202,7,"202_7","PA",11.29394166,226.4,686.6666667,110.972,4.42547
"PGM",202,8,"202_8","MA",0.098911968,254,633.3333333,115.983,5.42042
"PGM",202,9,"202_9","PA",1.669157947,100.4666667,384,82.9826,1.99919
"PGM",235,1,"235_1","PFlog",15.54003492,305.8888889,608.8888889,142.194,7.42126
"PGM",235,10,"235_10","PA",2.46882793,240.1111111,726.6666667,139.914,2.59525
"PGM",235,11,"235_11","MA",3.986048829,327.1111111,597.7777778,121.106,5.84698
"PGM",235,12,"235_12","MA",10.6706557,212.4444444,417.7777778,107.279,3.39255
"PGM",235,3,"235_3","PFlogbur",81.60526958,228.2222222,748.8888889,159.179,1.53142
"PGM",235,4,"235_4","SFold",30.82559844,257.2222222,686.6666667,134.285,4.69446
"PGM",235,5,"235_5","SFinter",31.99401048,157.3333333,162.2222222,113.495,8.01379
"PGM",235,6,"235_6","PA",0.648379052,318.2222222,644.4444444,145.062,4.30332
"PGM",235,7,"235_7","PA",6.346826587,305.625,512.5,131.971,4.16357
"PGM",235,8,"235_8","PA",7.855361596,255.8888889,711.1111111,153.695,2.26765
"PGM",245,1,"245_1","PA",1.601601602,138.4444444,188.8888889,102.715,3.43039
"PGM",245,11,"245_11","PFlogbur",75.17641129,218.3333333,542.2222222,178.428,22.1861
"PGM",245,12,"245_12","PA",8.354114713,207.8888889,100,70.1156,0.466717
"PGM",245,13,"245_13","PA",19.81037924,168.3333333,157.7777778,93.6547,2.73466
"PGM",245,14,"245_14","PA",13.95058647,149.8888889,162.2222222,88.8918,0.965001
"PGM",245,2,"245_2","PFlog",98.1394195,149.1111111,133.3333333,99.9992,0.028831
"PGM",245,4,"245_4","PFlog",98.32416208,212.7,180,85.6286,3.19691
"PGM",245,5,"245_5","PFlog",90.72864322,280.7777778,151.1111111,99.544,0.60186
"PGM",245,6,"245_6","PFlog",71.19700748,390.6666667,564.4444444,208.866,3.33213
"PGM",245,7,"245_7","SFinter",53.975,271.5555556,117.7777778,85.7774,2.96027
"PGM",245,8,"245_8","PFlog",78.2554672,241.2222222,84.44444444,90,0
"PGM",245,9,"245_9","PFlog",60.65737052,169.1111111,93.33333333,90.9242,1.49484
"PGM",269,1,"269_1","PFlogbur",82.3968175,284.1111111,677.7777778,147.446,3.3442
"PGM",269,10,"269_10","PFlog",84.68042775,188.6666667,762.2222222,159.322,1.42748
"PGM",269,11,"269_11","PFlog",98.73699851,208.7777778,748.8888889,159.614,7.91498
"PGM",269,12,"269_12","PA",18.27209533,79.77777778,251.1111111,78.1425,4.29687
"PGM",269,13,"269_13","PA",25.61368708,265.2222222,700,150,0
"PGM",269,14,"269_14","PA",28.35487078,120.3333333,213.3333333,62.1071,1.86142
"PGM",269,15,"269_15","PA",27.93240557,110.5555556,233.3333333,64.8376,2.71103
"PGM",269,2,"269_2","PFlogbur",72.98778968,309,617.7777778,149.994,0.108117
"PGM",269,4,"269_4","PFlog",96.23669225,286.1111111,680,159.967,0.335589
"PGM",269,6,"269_6","PFlogbur",66.2027833,264.6666667,688.8888889,142.952,3.63853
"PGM",269,7,"269_7","PFlog",96.83291771,217.5555556,537.7777778,125.116,10.8808
"PGM",269,8,"269_8","PFlogbur",97.7766675,211.8888889,428.8888889,107.685,3.1532
"PGM",274,1,"274_1","PFlogbur",62.60956674,262.5555556,566.6666667,156.665,8.45525
"PGM",274,10,"274_10","PA",41.40761005,225.7777778,740,171.146,1.71783
